City Name,Cloudiness,Country,Date,Humidity,Max Temperature,Latitude,Longitude,Wind Speed
Bambous Virieux,40,MU,1556992740,78,77.0,-20.34,57.76,6.93
Leningradskiy,93,RU,1556993201,93,20.98,69.38,178.42,10.42
Lebu,69,ET,1556993202,34,61.48,8.96,38.73,4.18
Tilichiki,1,RU,1556993203,76,28.9,60.47,166.1,5.84
Tual,100,ID,1556993205,84,80.74,-5.67,132.75,11.56
West Plains,90,US,1556992901,82,62.01,36.73,-91.85,10.29
Cantagallo,75,CO,1556989200,70,84.2,7.38,-73.91,4.7
Ahuimanu,75,US,1556993124,61,78.8,21.44,-157.84,16.11
San Andres,29,PH,1556993208,81,80.2,13.32,122.68,2.51
Puerto Berrio,100,CO,1556993209,35,96.04,6.49,-74.4,3.2
San Carlos de Bariloche,75,AR,1556989200,87,46.4,-41.13,-71.31,13.87
Saskylakh,100,RU,1556993210,96,19.9,71.97,114.09,13.06
Sao Filipe,0,CV,1556993213,80,71.92,14.9,-24.5,19.35
Honningsvag,99,NO,1556993213,80,31.42,70.98,25.97,15.77
Saint-Philippe,40,CA,1556993180,62,61.0,45.36,-73.48,4.7
Mahebourg,40,MU,1556992740,78,77.0,-20.41,57.7,6.93
Portland,40,US,1556993204,71,64.0,45.52,-122.67,3.36
Siauliai,0,LT,1556990400,60,46.4,55.93,23.32,8.05
Arraial do Cabo,20,BR,1556989200,78,86.0,-22.97,-42.02,18.34
Akhtanizovskaya,0,RU,1556991000,87,51.8,45.32,37.1,2.24
Nago,75,IT,1556993188,67,64.4,45.88,10.89,9.17
Nyakabindi,92,TZ,1556993222,71,74.26,-2.63,33.98,1.36
Gummidipundi,40,IN,1556991230,79,89.6,13.42,80.13,8.05
Talnakh,23,RU,1556989200,72,12.2,69.49,88.39,8.95
Sitka,48,US,1556992828,72,66.0,37.17,-99.65,7.0
Hobyo,21,SO,1556993105,73,84.7,5.35,48.53,15.82
Chuy,43,UY,1556993228,85,68.14,-33.69,-53.46,18.99
Souillac,90,FR,1556993168,66,51.01,45.6,-0.6,14.99
Tateyama,0,JP,1556992960,53,57.99,36.66,137.31,8.01
Hilo,1,US,1556993053,82,79.0,19.71,-155.08,4.7
Busselton,88,AU,1556993208,72,57.99,-33.64,115.35,19.28
Victoria,75,BN,1556991000,88,78.8,5.28,115.24,5.44
Ribeira Grande,40,PT,1556991000,87,60.8,38.52,-28.7,25.28
Peterhead,90,AU,1556993149,71,59.0,-34.83,138.5,5.82
Bethel,90,US,1556989200,93,37.4,60.79,-161.76,6.93
New Norfolk,75,AU,1556993056,81,51.8,-42.78,147.06,11.41
Vardo,90,US,1556993205,69,78.01,39.62,-77.74,1.3
Constitucion,40,MX,1556992816,15,78.01,23.99,-104.67,4.7
Fomboni,37,KM,1556993244,70,84.52,-12.28,43.74,5.53
Fandriana,5,MG,1556993244,98,58.06,-20.24,47.38,3.89
Olga,20,US,1556992935,56,70.0,34.11,-118.17,5.82
Cabedelo,75,BR,1556989200,62,86.0,-6.97,-34.84,17.22
Chokurdakh,24,RU,1556993245,97,7.3,70.62,147.9,2.33
Tautira,40,PF,1556992989,78,77.0,-17.73,-149.15,3.36
Hithadhoo,98,MV,1556993247,81,84.16,-0.6,73.08,3.6
Miri,95,NG,1556993249,20,95.86,10.31,9.75,4.59
Kyshtovka,24,RU,1556993251,51,50.32,56.56,76.62,10.58
La Ciotat,0,FR,1556993215,39,69.8,43.17,5.6,20.8
Port Alfred,64,ZA,1556992869,86,60.01,-33.59,26.89,1.01
Imbituba,0,BR,1556989200,58,87.8,-28.24,-48.67,2.24
Taungdwingyi,72,MM,1556993256,59,85.78,20.0,95.55,10.09
Bambanglipuro,2,ID,1556993256,80,81.82,-7.95,110.28,9.69
Tuatapere,100,NZ,1556992204,95,53.01,-46.13,167.69,11.07
Lasa,40,CY,1556992855,82,64.4,34.92,32.53,5.82
Geraldton,90,CA,1556989200,70,46.4,49.72,-86.95,11.41
Norman Wells,75,CA,1556991600,79,24.8,65.28,-126.83,9.17
Jamestown,20,AU,1556993261,86,49.96,-33.21,138.6,3.96
Henties Bay,0,NA,1556992927,92,57.99,-22.12,14.28,4.0
Thompson,90,CA,1556989200,79,28.4,55.74,-97.86,23.04
Bilma,6,NE,1556993264,7,94.06,18.69,12.92,7.27
Hasaki,0,JP,1556992793,93,55.4,35.73,140.83,4.7
Vila,75,IT,1556993244,48,66.2,45.18,8.4,4.7
Salalah,40,OM,1556988600,74,86.0,17.01,54.1,6.93
Los Llanos de Aridane,75,ES,1556993103,60,68.0,28.66,-17.92,4.7
Cusset,90,FR,1556993225,80,39.2,46.13,3.46,17.22
Georgetown,40,GY,1556990400,94,87.8,6.8,-58.16,11.41
Vaini,38,IN,1556993270,79,76.78,15.34,74.49,2.57
Pevek,26,RU,1556993270,94,25.3,69.7,170.27,5.86
Vitim,99,RU,1556993271,94,35.56,59.44,112.57,7.23
Bereda,0,ES,1556993147,63,62.6,43.27,-7.54,8.05
Lavrentiya,98,RU,1556993273,98,23.86,65.58,-170.99,3.91
Snasa,100,NO,1556993275,80,35.92,64.25,12.38,6.93
Kununurra,21,AU,1556991000,51,82.4,-15.77,128.74,9.17
Torbay,75,CA,1556992884,57,48.99,47.66,-52.73,12.75
Avarua,100,CK,1556991000,83,77.0,-21.21,-159.78,18.34
Mokama,45,IN,1556993099,53,87.94,25.4,85.92,10.04
Nyurba,100,RU,1556993281,96,37.18,63.29,118.35,7.78
Severo-Kurilsk,89,RU,1556993282,92,34.66,50.68,156.12,12.77
Destin,75,US,1556993197,78,84.99,30.39,-86.5,3.36
Moulins,100,FR,1556993225,81,42.8,46.57,3.33,12.75
Dikson,16,RU,1556993070,84,7.84,73.51,80.55,8.99
Yuzhou,0,CN,1556989200,77,59.0,34.16,113.47,2.24
Anadyr,75,RU,1556992993,86,28.4,64.73,177.51,3.13
Camacha,75,PT,1556991000,59,64.4,33.08,-16.33,9.17
Sabha,92,LY,1556993290,12,98.74,27.03,14.43,11.99
Coihaique,40,CL,1556989200,61,46.4,-45.58,-72.07,3.36
Chaihe,42,CN,1556993291,49,55.36,44.77,129.68,6.96
Puerto Ayora,20,EC,1556992821,74,84.2,-0.74,-90.35,16.11
Pisco,1,PE,1556992852,30,73.0,-13.71,-76.2,9.17
Saint George,75,GR,1556990400,63,64.4,39.45,22.34,12.75
Albany,90,US,1556993068,77,66.0,42.65,-73.75,6.93
Sorland,97,NO,1556993154,59,37.0,67.67,12.69,17.43
Yar-Sale,100,RU,1556993068,99,36.64,66.83,70.83,12.08
Aykhal,90,RU,1556989200,93,33.8,65.95,111.51,11.18
Hermanus,100,ZA,1556992883,75,61.0,-34.42,19.24,3.0
Pangkalanbuun,0,ID,1556993116,94,76.6,-2.68,111.62,0.63
Belaya Gora,99,RU,1556993305,95,24.4,68.54,146.19,8.81
Quatre Cocos,40,MU,1556992740,78,77.0,-20.21,57.76,6.93
Grand-Lahou,100,CI,1556993307,93,78.58,5.24,-5.0,2.06
Ouallam,82,NE,1556993308,21,103.6,14.32,2.08,6.82
Killybegs,0,IE,1556993223,61,50.0,54.63,-8.45,13.87
Clyde River,90,CA,1556989200,86,26.6,70.47,-68.59,14.99
Kavieng,100,PG,1556993311,87,80.74,-2.57,150.8,16.2
Seoul,75,KR,1556992200,71,59.0,37.57,126.98,1.12
Aklavik,75,CA,1556989200,58,26.6,68.22,-135.01,4.7
Axim,100,GH,1556993314,77,82.72,4.87,-2.24,5.01
Hailun,100,CN,1556993314,39,46.36,47.46,126.97,19.37
Sao Felix do Xingu,12,BR,1556993316,59,88.3,-6.64,-51.99,5.32
Marquette,40,US,1556992875,47,64.0,46.54,-87.4,6.93
Ilulissat,20,GL,1556988600,33,57.2,69.22,-51.1,12.75
Fuyu,93,CN,1556993319,48,42.22,47.79,124.46,13.15
Bredasdorp,100,ZA,1556992856,58,57.2,-34.53,20.04,5.82
Benghazi,78,LY,1556993320,31,83.08,32.12,20.07,20.27
Bukavu,100,CD,1556993320,97,60.4,-2.51,28.86,3.94
Neiafu,75,TO,1556989200,88,77.0,-18.65,-173.98,9.17
Necochea,100,AR,1556993289,51,73.0,-38.55,-58.74,1.01
Castro,90,CL,1556989200,100,55.4,-42.48,-73.76,11.41
Bauska,0,LV,1556990400,42,46.4,56.41,24.19,8.05
Rawson,63,AR,1556993159,48,64.36,-43.3,-65.11,20.92
Komsomolskiy,100,RU,1556993100,99,37.36,67.55,63.78,17.07
Barpeta,90,IN,1556991000,100,75.2,26.33,91.01,11.41
Joao Pinheiro,86,BR,1556993325,72,80.38,-17.74,-46.17,4.32
Mildura,0,AU,1556992822,87,46.4,-34.18,142.16,6.93
Kieta,99,PG,1556993328,73,83.8,-6.22,155.63,9.37
Waipawa,0,NZ,1556992216,73,55.0,-39.94,176.59,8.99
Hobart,75,AU,1556993258,81,51.8,-42.88,147.33,11.41
Alice Springs,0,AU,1556991000,44,46.4,-23.7,133.88,8.21
Carnarvon,34,ZA,1556993332,21,64.54,-30.97,22.13,6.71
LOS ALGARROBOS,75,EC,1556989200,55,89.6,-3.25,-79.94,8.05
Klaksvik,4,FO,1556992200,70,42.8,62.23,-6.59,19.46
Vermilion,20,CA,1556989200,43,35.6,53.35,-110.85,14.99
Vao,100,EE,1556993337,86,38.08,59.1,26.19,8.93
Yelizovo,19,RU,1556989200,74,33.8,53.19,158.38,4.47
Labuhan,9,ID,1556993338,85,76.06,-2.54,115.51,2.51
Riyadh,40,SA,1556989200,20,87.8,24.63,46.72,3.36
Narsaq,75,GL,1556988600,28,57.2,60.91,-46.05,20.8
Caravelas,74,BR,1556993344,63,83.44,-17.73,-39.27,7.52
Burgthann,20,DE,1556993203,75,43.0,49.36,11.32,9.17
Tezu,100,IN,1556993348,83,71.92,27.93,96.16,2.33
Coari,89,BR,1556993349,59,89.74,-4.09,-63.14,4.79
Saint-Augustin,75,FR,1556993349,76,55.4,44.83,-0.61,20.8
Morgan Hill,1,US,1556993351,76,68.0,37.13,-121.65,4.54
Pakxan,100,LA,1556993353,83,77.14,18.39,103.66,2.75
Taltal,0,CL,1556993355,60,68.14,-25.41,-70.49,7.72
Roebourne,20,AU,1556993355,21,79.12,-20.77,117.15,7.36
Stepnogorsk,23,KZ,1556993356,37,51.94,52.35,71.88,9.82
Tabou,100,CI,1556993357,89,80.02,4.42,-7.36,3.18
Cabo San Lucas,5,MX,1556993119,50,89.01,22.89,-109.91,5.82
Burnie,0,AU,1556993343,90,46.0,-41.05,145.91,3.0
Haines Junction,77,CA,1556993360,61,37.54,60.75,-137.51,6.55
Dolores,40,AR,1556993362,52,69.76,-36.31,-57.68,15.3
Bathsheba,75,BB,1556989200,78,80.6,13.22,-59.52,17.22
Lagoa,40,PT,1556993238,82,68.0,37.14,-8.45,8.05
Harper,75,US,1556993273,65,78.01,30.3,-99.24,3.36
Bocas del Toro,52,PA,1556992800,37,69.01,9.33,-82.25,5.99
Sambava,19,MG,1556993368,98,70.3,-14.27,50.17,3.27
Esperance,75,TT,1556993106,58,87.8,10.24,-61.45,18.34
Touros,40,BR,1556992800,66,86.0,-5.2,-35.46,12.75
San Cristobal,75,EC,1556992896,40,71.6,-0.39,-78.55,4.7
Grindavik,75,IS,1556991000,56,44.6,63.84,-22.43,6.93
Oum Hadjer,4,TD,1556993371,5,102.34,13.3,19.7,5.39
Atar,0,MR,1556993373,9,93.88,20.52,-13.05,9.44
Leshukonskoye,100,RU,1556993375,87,34.48,64.9,45.76,9.89
Idio,15,PH,1556993375,74,81.28,11.62,122.1,3.83
Alexandria,90,US,1556992994,93,75.99,31.31,-92.44,8.05
Biltine,10,TD,1556993376,4,100.18,14.53,20.93,9.93
Dingle,18,PH,1556993377,82,77.5,11.0,122.67,2.82
Hulyaypole,53,UA,1556993378,67,56.26,47.67,36.26,9.42
Toora-Khem,0,RU,1556993378,42,33.22,52.47,96.11,0.43
Port Antonio,20,JM,1556989200,55,86.0,18.18,-76.45,32.21
Khatanga,78,RU,1556993380,95,3.52,71.98,102.47,9.33
Tianpeng,96,CN,1556993381,76,72.1,28.88,112.34,3.09
Gorontalo,27,ID,1556993216,90,76.78,0.54,123.06,3.44
Kattivakkam,40,IN,1556991230,79,89.6,13.22,80.32,8.05
Skibbereen,20,IE,1556991000,61,48.2,51.55,-9.27,9.17
Solano,72,PH,1556993385,97,65.62,16.52,121.18,0.51
Luderitz,0,NA,1556989200,67,62.6,-26.65,15.16,3.36
Te Anau,100,NZ,1556993386,96,50.14,-45.41,167.72,3.13
Payo,89,ID,1556993386,87,71.92,-3.75,103.64,2.77
Saldanha,0,PT,1556993386,42,70.3,41.42,-6.55,6.67
Auki,100,NG,1556993388,22,99.82,12.18,6.51,4.47
Akdepe,0,TM,1556991000,21,69.8,42.05,59.39,6.93
Conde,31,BR,1556993305,58,86.5,-11.81,-37.61,7.99
Upernavik,2,GL,1556993392,86,31.96,72.79,-56.15,9.28
Flinders,0,AU,1556993232,87,60.01,-34.58,150.85,9.17
Kaniv,42,UA,1556993394,79,55.0,49.76,31.46,1.86
Nouadhibou,0,MR,1556989200,56,71.6,20.93,-17.03,24.16
Kashary,59,RU,1556993294,76,57.7,49.04,41.01,5.64
Stokmarknes,75,NO,1556992890,57,34.0,68.56,14.91,10.29
Nanakuli,90,US,1556993381,88,78.8,21.39,-158.15,14.99
Nandigama,20,IN,1556989200,59,91.4,16.78,80.29,2.24
Laguna,20,MX,1556988360,28,80.6,27.52,-110.01,6.93
Lompoc,40,US,1556993332,77,62.01,34.64,-120.46,8.05
Vila Franca do Campo,20,PT,1556991000,88,64.4,37.72,-25.43,11.41
Praia da Vitoria,75,PT,1556992850,77,68.0,38.73,-27.07,24.99
Tuktoyaktuk,40,CA,1556989200,78,14.0,69.44,-133.03,9.17
Oskemen,1,KZ,1556991000,48,42.8,49.96,82.61,4.47
Namatanai,100,PG,1556993410,91,77.14,-3.66,152.44,12.82
Bhaktapur,20,NP,1556990400,77,68.0,27.67,85.43,3.36
Sistranda,75,NO,1556993383,80,41.0,63.73,8.83,21.92
Surin,99,TH,1556992908,94,87.01,14.88,103.49,2.24
Vestmannaeyjar,40,IS,1556989200,61,44.6,63.44,-20.27,9.17
Yantal,74,RU,1556993416,65,30.52,56.85,105.25,4.43
Bom Jardim,38,BR,1556993417,61,82.36,-7.8,-35.59,11.16
Clonakilty,20,IE,1556993027,61,52.0,51.62,-8.87,9.17
Panjab,1,AF,1556993419,35,42.58,34.38,67.02,5.55
Berlevag,100,NO,1556993420,82,32.5,70.86,29.09,16.2
Port Blair,100,IN,1556993349,80,85.42,11.67,92.75,14.03
Road Town,40,VG,1556993232,58,84.2,18.42,-64.62,12.75
Isangel,5,VU,1556993424,71,77.68,-19.55,169.27,16.98
Coquimbo,75,CL,1556992919,77,72.0,-29.95,-71.34,8.05
Kudahuvadhoo,71,MV,1556993425,74,85.06,2.67,72.89,8.37
Mtwara,40,TZ,1556993426,99,73.18,-10.28,40.18,5.08
Bowmore,75,US,1556993424,54,86.0,34.94,-79.3,8.05
Orhei,75,MD,1556992898,52,66.0,47.39,28.83,12.75
Haimen,1,CN,1556993338,74,63.0,31.87,121.18,7.34
Marondera,0,ZW,1556989200,55,62.6,-18.19,31.55,8.05
Faanui,8,PF,1556993430,74,82.0,-16.48,-151.75,17.67
Popondetta,95,PG,1556993431,80,68.68,-8.77,148.24,2.08
Veshenskaya,28,RU,1556993154,75,57.34,49.63,41.73,7.31
Prado,55,BR,1556993433,66,83.8,-17.34,-39.22,9.37
Mitu,1,IR,1556993436,80,49.78,36.2,46.09,7.52
Jingdezhen,53,CN,1556993437,64,61.48,29.29,117.2,2.66
Qaanaaq,0,GL,1556993438,81,26.56,77.48,-69.36,1.72
Razdolnoye,90,RU,1556989200,93,50.0,43.7,44.53,5.1
San Policarpo,20,PH,1556993441,82,80.56,12.18,125.51,6.02
Arsk,0,RU,1556991000,58,53.6,56.09,49.88,6.71
Gbarnga,100,LR,1556993442,92,78.76,7.0,-9.47,3.11
Puerto Baquerizo Moreno,20,EC,1556989200,74,84.2,-0.9,-89.6,14.99
Margate,75,AU,1556993416,81,51.8,-43.03,147.26,11.41
Mitsamiouli,20,KM,1556989200,78,82.4,-11.38,43.28,4.7
Dongsheng,57,CN,1556993448,77,70.84,29.72,112.52,4.99
Ayagoz,1,KZ,1556993449,45,43.66,47.96,80.43,10.85
Storforshei,100,NO,1556993449,86,24.4,66.4,14.52,3.8
Makakilo City,90,US,1556993381,88,78.8,21.35,-158.09,14.99
Saint-Pierre,0,FR,1556993422,70,45.0,48.95,4.24,20.8
Gusau,100,NG,1556993452,22,99.82,12.17,6.66,4.47
Shu,0,KZ,1556993452,54,46.36,43.6,73.76,7.92
Sechura,17,PE,1556993453,71,75.7,-5.56,-80.82,11.95
Ribeira Brava,75,PT,1556992908,55,64.4,32.65,-17.07,3.36
Jeremie,100,HT,1556993455,68,83.26,18.65,-74.12,5.1
Bilibino,8,RU,1556993455,91,15.04,68.06,166.44,1.63
Beringovskiy,75,RU,1556993456,79,27.28,63.05,179.32,4.41
Bakel,71,SN,1556993458,11,104.68,14.9,-12.46,11.1
Rudnya,30,RU,1556993458,67,58.6,50.8,44.56,5.37
Chara,75,GR,1556990400,63,64.4,39.42,22.43,12.75
Gazalkent,0,UZ,1556991000,59,60.8,41.57,69.78,4.7
Lorengau,100,PG,1556993459,86,78.58,-2.02,147.27,12.68
Barra do Corda,54,BR,1556993420,58,89.56,-5.5,-45.25,5.55
Mar del Plata,98,AR,1556993322,62,48.7,-46.43,-67.52,5.17
Dunedin,100,NZ,1556993301,75,57.99,-45.87,170.5,11.99
Sabang,20,PH,1556993462,77,82.18,13.72,123.58,4.27
Parsons,40,US,1556993293,67,64.99,37.34,-95.26,5.82
Kavaratti,51,IN,1556993464,68,85.06,10.57,72.64,9.57
Naze,75,NG,1556989200,66,87.8,5.43,7.07,11.41
Coahuayana,100,MX,1556993464,14,101.62,18.62,-100.35,3.51
Mombetsu,97,JP,1556991066,58,52.0,44.35,143.35,5.99
Zaragoza,0,ES,1556993157,36,64.4,41.65,-0.88,26.4
Mpulungu,33,ZM,1556993469,93,64.0,-8.77,31.12,6.06
Genhe,61,CN,1556993469,57,22.06,50.78,121.52,4.32
Ahipara,4,NZ,1556993173,100,52.0,-35.17,173.16,10.6
Biu,78,NG,1556993177,27,94.96,10.61,12.19,5.99
Boa Vista,75,BR,1556992800,52,89.6,2.82,-60.67,10.29
Husavik,9,CA,1556993405,41,50.0,50.56,-96.99,18.99
Shingu,100,JP,1556993194,54,46.72,33.72,135.99,3.53
Saint Marys,40,US,1556993405,63,71.01,41.43,-78.56,4.7
Upington,0,ZA,1556989200,19,78.8,-28.46,21.24,6.93
Tokur,100,RU,1556993481,49,34.66,53.13,132.9,8.12
Faya,20,SA,1556989200,33,77.0,18.39,42.45,3.36
Saint-Gilles,0,FR,1556993416,39,66.2,43.68,4.43,18.34
Bonthe,91,SL,1556993486,67,85.42,7.53,-12.5,11.25
Artyom,90,RU,1556991000,87,51.8,43.36,132.19,6.71
Shelburne,90,CA,1556993464,100,55.99,44.08,-80.2,1.21
Cidreira,59,BR,1556993487,71,80.74,-30.17,-50.22,9.48
Mhlume,35,SZ,1556992817,72,75.0,-26.03,31.81,3.27
Nouna,100,BF,1556993488,43,90.46,12.73,-3.87,6.69
Mahibadhoo,50,MV,1556993490,75,84.88,3.78,72.97,7.7
Praya,17,ID,1556993491,79,81.64,-8.71,116.27,7.38
Lyambir,61,RU,1556993493,81,56.8,54.28,45.12,7.07
Gisborne,0,NZ,1556992803,99,46.99,-38.66,178.02,1.99
Ormara,0,PK,1556993495,26,89.92,25.21,64.64,12.19
Mount Pleasant,40,US,1556993321,78,75.2,33.16,-94.97,8.1
Tasiilaq,75,GL,1556988600,60,41.0,65.61,-37.64,3.36
Svetlogorsk,12,RU,1556991000,46,53.6,53.14,59.15,6.71
Balabac,21,PH,1556993498,67,85.96,7.99,117.06,5.93
Vysokogornyy,46,RU,1556993499,88,35.38,50.1,139.13,5.03
Broome,40,GB,1556993479,70,50.0,52.47,1.45,16.11
Ayan,73,TR,1556993502,56,48.34,40.67,33.6,4.45
Port Lincoln,28,AU,1556993504,62,60.22,-34.72,135.86,2.37
Katsuura,75,JP,1556992700,58,59.0,33.93,134.5,5.82
Richards Bay,89,ZA,1556993505,84,74.26,-28.77,32.06,14.36
Rio Gallegos,0,AR,1556989200,70,42.8,-51.62,-69.22,8.93
Mission,90,US,1556993159,58,87.01,26.22,-98.33,8.05
Yulara,0,AU,1556989200,43,50.0,-25.24,130.99,6.93
Zarkos,75,GR,1556988600,48,64.4,39.61,22.12,6.93
Churapcha,100,RU,1556993508,83,28.72,62.0,132.43,5.46
Kota Kinabalu,75,MY,1556991000,88,77.0,5.98,116.07,6.93
Airai,85,TL,1556993511,78,73.9,-8.93,125.41,4.94
Le Port,40,FR,1556993410,26,60.8,42.87,1.37,17.22
Andros Town,75,BS,1556989200,74,82.4,24.73,-77.79,16.11
Doba,89,TD,1556993514,36,93.52,8.66,16.85,4.09
Paka,40,HR,1556991930,67,62.6,45.29,18.06,12.75
Coria,0,ES,1556993517,35,75.16,39.98,-6.54,3.11
Hailin,36,CN,1556993518,51,56.62,44.57,129.38,6.93
Nizwa,0,OM,1556993520,14,85.42,22.93,57.53,6.93
Nishinomiya,60,JP,1556993493,77,59.0,34.77,135.32,5.82
Muisne,90,EC,1556989200,88,80.6,0.61,-80.02,3.36
Inirida,100,CO,1556993521,80,82.9,3.87,-67.92,4.27
Guozhen,53,CN,1556993522,79,70.12,29.3,113.14,3.74
Petropavlovsk-Kamchatskiy,9,RU,1556989200,74,33.8,53.05,158.65,4.47
Namibe,90,AO,1556989200,88,69.8,-15.19,12.15,9.17
Namtsy,0,RU,1556991000,87,32.0,62.72,129.66,4.47
Piacabucu,3,BR,1556993526,61,85.24,-10.41,-36.43,7.52
Lebanon,40,US,1556993492,59,68.0,43.64,-72.25,4.7
Karratha,20,AU,1556993529,34,78.94,-20.74,116.85,10.18
Soyo,20,AO,1556989200,79,84.2,-6.13,12.37,8.05
Sept-Iles,75,CA,1556992810,69,44.01,50.2,-66.38,8.05
Lakatoro,21,VU,1556993531,73,80.38,-16.11,167.42,15.57
Payson,1,US,1556993524,35,69.01,40.04,-111.73,5.77
San Quintin,32,PH,1556993533,78,77.32,17.54,120.52,3.06
Say,20,NE,1556989200,26,104.0,13.1,2.36,9.17
Grand Gaube,40,MU,1556993340,78,77.0,-20.01,57.66,6.93
Altay,98,CN,1556993537,67,39.7,47.83,88.13,5.06
Shagonar,0,RU,1556993539,33,44.2,51.54,92.92,1.92
Pangody,100,RU,1556993442,100,36.46,65.85,74.49,13.04
Demba,88,CD,1556993540,74,77.5,-5.47,22.27,1.41
Ipixuna,75,BR,1556992800,83,82.4,-1.76,-48.8,11.41
Taoudenni,1,ML,1556993541,9,94.42,22.68,-3.98,14.61
Mogadishu,78,SO,1556993543,76,83.26,2.04,45.34,10.04
Bilara,38,IN,1556993545,11,94.6,26.18,73.71,5.41
Ocos,40,GT,1556991600,52,91.4,14.51,-92.19,4.7
San Patricio,94,PY,1556993548,86,81.1,-26.98,-56.83,7.83
Northam,20,GB,1556993486,32,55.99,51.04,-4.21,12.75
Gurlan,0,UZ,1556991000,21,69.8,41.84,60.39,11.41
Aksu,0,KZ,1556991000,81,42.8,52.04,76.93,4.47
Bukan,1,IR,1556993550,80,49.78,36.52,46.21,7.52
Comodoro Rivadavia,75,AR,1556989200,81,48.2,-45.87,-67.48,2.24
Provideniya,100,RU,1556993552,96,27.82,64.42,-173.23,4.05
Tabuk,71,PH,1556993552,97,64.72,17.41,121.44,1.9
Sao Sebastiao,68,BR,1556993553,66,88.3,-3.15,-58.36,5.64
Mehran,0,IR,1556989200,63,60.8,33.12,46.17,2.24
Fairbanks,90,US,1556993285,55,37.99,64.84,-147.72,3.56
New Albany,90,US,1556993523,88,70.0,38.29,-85.82,3.36
Cardston,75,CA,1556993090,55,44.6,49.2,-113.32,20.8
Hambantota,53,LK,1556993556,80,84.16,6.12,81.12,16.87
Russell,0,AR,1556989200,59,66.2,-33.01,-68.8,5.82
Yatou,100,CM,1556993560,79,84.52,3.63,9.81,14.36
Antofagasta,0,CL,1556989200,52,68.0,-23.65,-70.4,10.29
Launceston,90,AU,1556993476,87,48.0,-41.43,147.14,9.17
Brigantine,90,US,1556993528,93,75.99,39.41,-74.36,3.36
Jackson,90,US,1556993488,78,73.99,35.61,-88.82,6.93
Opuwo,0,NA,1556993566,20,75.7,-18.06,13.84,7.4
Pangnirtung,20,CA,1556989200,86,28.4,66.15,-65.72,8.05
Santa Luzia,40,BR,1556993536,65,82.0,-19.77,-43.85,8.05
Kloulklubed,75,PW,1556992200,88,77.0,7.04,134.26,7.9
Kupang,67,ID,1556993569,73,81.82,-10.16,123.6,12.01
Kahului,40,US,1556993527,69,78.8,20.89,-156.47,17.22
Oktyabrskoye,0,RU,1556993421,48,44.6,56.73,85.44,8.95
Vostok,97,RU,1556993572,46,51.4,46.45,135.83,5.59
Kisangani,54,CD,1556993573,59,83.44,0.52,25.21,2.59
Marsa Matruh,100,EG,1556993573,62,68.86,31.35,27.25,15.01
Agadir,20,MA,1556991000,56,71.6,30.42,-9.58,17.22
Don Sak,100,TH,1556993574,74,85.06,9.32,99.69,7.16
High Prairie,91,CA,1556993576,22,37.0,55.43,-116.48,5.26
